date,open,high,low,close,volume,split,dividend,absoluteChange,percentChange
8/3/2017 0:00,2703.51,2807.44,2698.83,2793.37,7963.7,,,,
8/4/2017 0:00,2793.34,2877.52,2765.91,2855,7635.82,,,,
8/5/2017 0:00,2851.01,3339.66,2848.32,3263.62,16996.27,,,,
8/6/2017 0:00,3263.51,3296.51,3146.1,3222.75,5998.74,,,,
8/7/2017 0:00,3216.78,3430,3186,3387.55,12046.12,,,,
8/8/2017 0:00,3387.54,3490,3300,3412.41,15835.37,,,,
8/9/2017 0:00,3408.46,3423.1,3178.72,3342.99,14286.84,,,,
8/10/2017 0:00,3342.99,3448,3311.17,3413.03,9031.12,,,,
8/11/2017 0:00,3410,3705,3390.67,3645.06,11927.37,,,,
8/12/2017 0:00,3651.74,3934,3586.95,3855.1,12351.07,,,,
8/13/2017 0:00,3855.04,4190,3841.71,4053.87,15889.83,,,,
8/14/2017 0:00,4053.87,4329.43,3964.96,4306.23,14212.3,,,,
8/15/2017 0:00,4320.95,4400,3800,4155.67,25515.72,,,,
8/16/2017 0:00,4154.99,4379.78,3926.06,4378.84,12923.64,,,,
8/17/2017 0:00,4361.99,4480,4167.21,4276.5,14573.19,,,,
8/18/2017 0:00,4260.47,4368,3964.96,4100,17516.99,,,,
8/19/2017 0:00,4100,4188,3900,4099.55,15036.18,,,,
8/20/2017 0:00,4091.99,4125.95,4000,4058.68,6237.97,,,,
8/21/2017 0:00,4058.64,4080,3949.78,3987.52,9782.06,,,,
8/22/2017 0:00,3987.51,4139.31,3600,4085,23522.76,,,,
8/23/2017 0:00,4078,4248.97,4051.94,4108.12,14979.4,,,,
8/24/2017 0:00,4121.78,4350,4082.57,4300.34,10782.69,,,,
8/25/2017 0:00,4308.8,4449.98,4270,4355.98,9699.61,,,,
8/26/2017 0:00,4348.17,4369.78,4232.43,4333.38,6559.67,,,,
8/27/2017 0:00,4333.38,4393.3,4290.32,4337.68,3979.12,,,,
8/28/2017 0:00,4329.91,4399.72,4169.01,4379.99,8641,,,,
8/29/2017 0:00,4385,4649.78,4336.26,4578.82,11879.64,,,,
8/30/2017 0:00,4578.82,4642.22,4479,4573.2,8720.04,,,,
8/31/2017 0:00,4573.15,4765.21,4566.66,4734.26,8911.41,,,,
9/1/2017 0:00,4734.26,4935,4671.09,4921.7,15367.53,,,,
9/2/2017 0:00,4921.71,4979.9,4488.5,4599.9,16977.79,,,,
9/3/2017 0:00,4599.9,4700,4385,4606.26,11224.91,,,,
9/4/2017 0:00,4603.68,4613.97,4058.5,4277,25069.13,,,,
